名子,經緯度,平台,連結,Google Map,種類,縣市,鄉鎮區
四川吳抄手-信義店,"25.0370306, 121.5678808",Facebook,https://www.facebook.com/reel/2900187343490620,https://maps.app.goo.gl/5WqjX8azGFgyF5U9A,小吃,台北市,信義區
三坑菜頭滷,"25.1249781, 121.7420032",Facebook,https://www.facebook.com/reel/1215158200121089,https://maps.app.goo.gl/vn7wMaaq3XzAMqvk8,小吃,基隆市,仁愛區
三角窗麵擔,"25.1296216, 121.7388506",Facebook,https://www.facebook.com/reel/1215158200121089,https://maps.app.goo.gl/JSzasTw2JTiP6LxV7,小吃,基隆市,仁愛區
天天鮮排骨飯,"25.1298197, 121.7393137",Facebook,https://www.facebook.com/reel/1215158200121089,https://maps.app.goo.gl/SgotSusPGuD37ZbR9,小吃,基隆市,仁愛區
鳥巢咖啡,"25.1302945, 121.7416128",Facebook,https://www.facebook.com/reel/1215158200121089,https://maps.app.goo.gl/jG3kuvA9sooEBHuE6,咖啡廳,基隆市,仁爱區
曙‧初見咖啡,"25.1279439, 121.7402222",Facebook,https://www.facebook.com/reel/1215158200121089,https://maps.app.goo.gl/zk3HuJe7c6KrvCVw7,咖啡廳,基隆市,仁愛區
十和田鐵板燒餐廳,"25.1202152, 121.5110495",Facebook,https://www.facebook.com/reel/1325810901746560,https://maps.app.goo.gl/TVjSFKsy6s52D4Hr7,鐵板燒,台北市,北投區
滿麵春風,"24.7780692, 121.0760687",Facebook,https://www.facebook.com/reel/3527947604026427,https://maps.app.goo.gl/11wa6RY7qv4TLHtj7,小吃,新竹縣,芎林鄉
泰好吃泰國船麵,"25.0138878, 121.5334094",Facebook,https://www.facebook.com/reel/1830063807811515,https://maps.app.goo.gl/oBCFR2QzxLzCXuh4A,小吃,台北市,中正區
上好雞肉,"25.0049547, 121.4748792",Facebook,https://www.facebook.com/reel/1134569361649767,https://maps.app.goo.gl/cNUufT8Ao6arhK146,小吃,新北市,中和區
海料理海米粉-南崁店,"25.0396026, 121.2880458",Facebook,https://www.facebook.com/reel/1581266402811918,https://maps.app.goo.gl/KYw34tTFkCURBavh9,小吃,桃園市,蘆竹區
酥炸鱈場蟹腳,"25.04862705405005, 121.45827752821789",Facebook,https://www.facebook.com/reel/1123508518975222,https://maps.app.goo.gl/k2SwKTia8Mc8zQpe6,海鮮,新北市,新莊區
小木屋控肉飯(倒閉),"24.9572025, 121.2225061",Facebook,https://www.facebook.com/reel/445159008668641,https://maps.app.goo.gl/xsVmV7R1uF6r9uNw6,小吃,桃園市,中壢區
絕品饕鍋,"24.2110524, 120.570051",Facebook,https://www.facebook.com/reel/1660062527915453,https://maps.app.goo.gl/UGdXipJq3aWt6JtF8,火鍋,台中市,沙鹿區
這浬咖啡文創所,"24.8740347, 121.8395478",Facebook,https://www.facebook.com/reel/582341211224315,https://maps.app.goo.gl/EQTwpV2Qr6E77CmAA,咖啡廳,宜蘭縣,頭城鎮
掱漁美式手抓海鮮,"22.9816471, 120.1896351",Facebook,https://www.facebook.com/reel/3933267093609845,https://maps.app.goo.gl/HyQpqomxfjBZ1GHj6,海鮮,台南市,南區
太平山,"24.49788380588336, 121.5351341678902",Facebook,https://www.facebook.com/reel/1286647265880227,https://maps.app.goo.gl/Wvfimt2AT3uXTmdV8,健行,宜蘭縣,南澳鄉
Chalet V,"25.0837339, 121.5550552",Facebook,https://www.facebook.com/reel/2853837574794410,https://maps.app.goo.gl/QqETGNNVayy7S3Aw8,早午餐,台北市,中山區
硬派主廚的軟嫩料理,"24.8054975, 120.9691403",Facebook,https://www.facebook.com/reel/1298566294618329,https://maps.app.goo.gl/RS3UVag3fTi6ui2fA,牛排,新竹市,東區
JK STUDIO 歐陸餐廳】,"25.0678947, 121.3646136",Facebook,https://www.facebook.com/reel/1090692002695592,https://maps.app.goo.gl/WMouXNB7Sdph3Rn39,法式,新北市,林口區
阿鴻知高飯小吃店,"25.0367997, 121.4977172",Facebook,https://www.facebook.com/reel/1085709396587807,https://maps.app.goo.gl/XYYDNhcach5yPtmd9,小吃,台北市,萬華區
梨橙溫泉拉麵(倒閉),"25.0406879, 121.5539068",Facebook,https://www.facebook.com/reel/1041783070622651,https://maps.app.goo.gl/8Qji7maixGQhfxMR7,日式,台北市,大安區
米粉炒豬血湯,"22.62736732967541, 120.35575133045387",Facebook,https://www.facebook.com/reel/481310911192288,https://maps.app.goo.gl/Dbe61WGWWbGhWuRJ7,熱炒類,高雄市,鳳山區
招財咖啡,"24.8069243, 120.9674685",Facebook,https://www.facebook.com/reel/1153256799294627,https://maps.app.goo.gl/sS1iveSDnMx2u28p8,咖啡廳,新竹市,北區
津炙燒烤,"25.0057026, 121.4754513",Facebook,https://www.facebook.com/reel/1083079263359270,https://maps.app.goo.gl/qySDhuW38npS5UYP8,燒烤,新北市,中和區
家家麵食滷味館,"24.8076356, 120.9711387",Facebook,https://www.facebook.com/reel/893651479611106,https://maps.app.goo.gl/TJRv2XfBebzGZ8JM9,小吃,新竹市,東區
連得堂餅家,"23.0004068, 120.2066691",Facebook,https://www.facebook.com/reel/1101496028032705,https://maps.app.goo.gl/hKnLnoz9oxj1Lwp59,冰品 / 甜點,台南市,北區
龜龜毛毛南洋餐室,"22.9949017, 120.2037998",Facebook,https://www.facebook.com/reel/1101496028032705,https://maps.app.goo.gl/NeDLWTWhnH9UV7MC6,泰式,台南市,中西區
Present Coffee,"22.9987121, 120.1995184",Facebook,https://www.facebook.com/reel/1101496028032705,https://maps.app.goo.gl/KTucS2hTXKu9Wn1o9,咖啡廳,台南市,中西區
搖搖冰沙,"22.993446, 120.2931928",Facebook,https://www.facebook.com/reel/1101496028032705,https://maps.app.goo.gl/b47r4AmRuFa6Py7p9,冰品 / 甜點,台南市,歸仁區
